,Faculty,Course,A,A-,B,B-,C,C-,D,W,F,Popularity_score,Difficulty_score,Difficulty_Level
195,Ази судлалын тэнхим,Хятад хэлний уран зохиолын орчуулга,2.75,0.25,0.0,0.0,0.0,0.0,0.0,0.25,0.0,3.25,4.653846153846154,0
196,Ази судлалын тэнхим,"Хятад хэлний хууль, эрх зүйн орчуулга",1.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.8125,0
197,Ази судлалын тэнхим,Хятад хэлний хэлмэрчлэхүй,10.333333333333334,7.666666666666667,3.6666666666666665,1.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,0.5,25.166666666666668,4.412162162162161,0
198,Ази судлалын тэнхим,"Хятад хэлний эдийн засаг, бизнесийн орчуулга",1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,5.0,0
199,Ази судлалын тэнхим,Хятад хэлний эрх зүйн орчуулга,11.5,3.5,1.0,1.0,0.5,0.0,0.0,1.5,0.0,19.0,4.407894736842105,0
200,Ази судлалын тэнхим,Хятад хэлний үгийн сан судлал,2.0,3.4,1.2,1.8,0.0,0.8,0.0,2.4,0.2,11.8,3.534482758620689,1
201,Ази судлалын тэнхим,Хятад хэлний өгүүлбэрзүй,0.6666666666666666,2.0,2.3333333333333335,1.6666666666666667,2.0,1.3333333333333333,2.0,4.333333333333333,0.0,16.333333333333332,2.7653061224489797,2
202,Ази судлалын тэнхим,Хятадын нийгэм улс төрийн орчуулга,1.8333333333333333,5.0,3.6666666666666665,4.5,5.5,1.6666666666666667,1.3333333333333333,2.0,0.6666666666666666,26.166666666666668,3.454248366013072,1
203,Ази судлалын тэнхим,"Хятадын нийгэм, соёл",0.0,0.25,1.0,2.5,1.5,3.25,1.5,2.5,1.0,13.5,2.64,2
204,Ази судлалын тэнхим,Хятадын орчин үеийн түүх,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.5,0
